model,condition,theta,seed,metric,value,fs_hz,w3_rad_s,demod_lp_frac,nbw_rel,welch_nperseg,welch_noverlap,psd_norm,is_surrogate,psd_nrmse,config_hash,run_id,holm_family,wall_s,ode_steps,timestamp,status,failure_reason,n_samples,mean_ou,ci_ou_low,ci_ou_high,mean_psd_matched,ci_psd_low,ci_psd_high,mean_delta,ci_delta_low,ci_delta_high,cohen_d,p_value,p_value_holm,tost_pass,tost_p_lower,tost_p_upper,Theta,calibration,R_env_mean,R_env_ci_low,R_env_ci_high,cutoff,theta_star,tau_B_star,R_env_peak,tau_B,N,N_pseudo,R_env,band_power,energy,envelope_rms,envelope_rms_ratio,baseband_power,baseband_ratio,narrowband_power,occ_target,occ_meas,rel_occ_err,n1_tail,occ_ratio_achieved,gpm_scale,nudges_used,hit_clamp,g_used,kappa,Jw1_target,Jw1_est,rel_Jw1_err,nbar,a1_init_alpha,burn_frac,omega_c,t_final,n_time,solver,min_real_part,cond_drift,freq_grid,j_bandwidth_frac,Theta_star,n1_ratio,occ_updates
classical,ou,0.7,3383382447,baseband_power,1.0158237781189006e-31,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,0.04231283300000044,12000.0,2025-10-10T20:19:12.604084Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,psd_matched,0.7,3383382447,baseband_power,5.411539574180535e-32,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,0.04223020899999952,12000.0,2025-10-10T20:19:12.604117Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,ou,0.7,3383382447,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,0.04231283300000044,12000.0,2025-10-10T20:19:12.604120Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,psd_matched,0.7,3383382447,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,0.04223020899999952,12000.0,2025-10-10T20:19:12.604122Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,ou,1.3,697573970,baseband_power,2.6656530258916564e-31,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,0.04212954200000141,12000.0,2025-10-10T20:19:20.819366Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,psd_matched,1.3,697573970,baseband_power,4.4124130418463265e-32,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,0.042208915999999874,12000.0,2025-10-10T20:19:20.819378Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,ou,1.3,697573970,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,0.04212954200000141,12000.0,2025-10-10T20:19:20.819381Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,psd_matched,1.3,697573970,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,0.042208915999999874,12000.0,2025-10-10T20:19:20.819383Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,ou,2.0,3188352949,baseband_power,3.868281386101306e-32,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,0.04248479199999977,12000.0,2025-10-10T20:19:29.037021Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,psd_matched,2.0,3188352949,baseband_power,8.615933236535727e-32,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,0.04204704200000009,12000.0,2025-10-10T20:19:29.037036Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,ou,2.0,3188352949,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,0.04248479199999977,12000.0,2025-10-10T20:19:29.037039Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,psd_matched,2.0,3188352949,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,0.04204704200000009,12000.0,2025-10-10T20:19:29.037041Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,psd_overlay,0.7,-1,psd_nrmse,0.00605412847447654,2000.0,1.0,0.2,0.3,8192,4096,onesided,2,0.00605412847447654,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,59e28684,classical_ou_vs_surrogate,nan,nan,2025-10-10T20:19:30.934963Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
