theta,tau_B,R_env,R_narrow,R_env_periodogram,R_env_hilbert,band_power,base_band,narrow_power,env_power,hilbert_power,base_narrow,base_env,base_hilbert,g_used,target_j,j_est,rel_j_err,omega_c,kerr_fast,n1_mean,n1_base,n1_ratio,excitation_amp,n_hierarchy,n_pseudo,burn_frac,detune_frac
0.6,0.0006,1.0323474579680307,nan,1.0257352974155742,1.0718013234899009,1.4408186185418964e-32,1.3956721716328524e-32,0.0,2.5235053132823768e-15,1.0462049326413818e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,227.47694605113188,122.42687930145796,122.42687930145796,0.0,1100.0,0.0,0.01997738404098759,5.6899129341854866e-15,3511017527344.1787,0.2,3,3,0.25,0.1
0.8,0.0008,1.0567608184993957,nan,1.0354596020106348,1.0673847900139377,1.474891666451562e-32,1.3956721716328524e-32,0.0,2.5474289652961473e-15,1.0418938733000077e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,198.08537254456039,122.42687930145796,122.42687930145797,1.1607626361372727e-16,1100.0,0.0,0.01997738404083083,5.6899129341854866e-15,3511017527316.6284,0.2,3,3,0.25,0.1
1.0,0.001,1.025641043026742,nan,1.035554722785183,1.061437358834941,1.4314586618369168e-32,1.3956721716328524e-32,0.0,2.54766298062211e-15,1.0360884766284015e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,178.4124116152771,122.42687930145796,122.42687930145796,0.0,1100.0,0.0,0.01997738404078712,5.6899129341854866e-15,3511017527308.947,0.2,3,3,0.25,0.1
1.1,0.0011,1.0316077275216464,nan,1.0351573690868716,1.0584873213819688,1.4397861973433682e-32,1.3956721716328524e-32,0.0,2.5466854144103714e-15,1.0332088909560056e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,170.79515924828604,122.42687930145796,122.42687930145794,1.1607626361372727e-16,1100.0,0.0,0.01997738404079096,5.6899129341854866e-15,3511017527309.6216,0.2,3,3,0.25,0.1
1.2,0.0012,1.0568442499056687,nan,1.0345901224206842,1.0556637768190806,1.4750081093435375e-32,1.3956721716328524e-32,0.0,2.5452898789543207e-15,1.0304527773139662e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,164.23983197168678,122.42687930145796,122.42687930145799,2.3215252722745455e-16,1100.0,0.0,0.019977384040805422,5.6899129341854866e-15,3511017527312.163,0.2,3,3,0.25,0.1
1.3,0.0013,1.0264918226054072,nan,1.0339188940550257,1.0530070987613203,1.4326460712190532e-32,1.3956721716328524e-32,0.0,2.54363852859967e-15,1.0278595451285283e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,158.5407836041399,122.42687930145796,122.42687930145796,0.0,1100.0,0.0,0.019977384040827,5.6899129341854866e-15,3511017527315.955,0.2,3,3,0.25,0.1
1.4,0.0014,1.0279907909531247,nan,1.0331914876117188,1.0505361925511347,1.4347381396281212e-32,1.3956721716328524e-32,0.0,2.5418489694129816e-15,1.0254476482512478e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,153.54451811322872,122.42687930145796,122.42687930145799,2.3215252722745455e-16,1100.0,0.0,0.019977384040853034,5.6899129341854866e-15,3511017527320.531,0.2,3,3,0.25,0.1
