theta,tau_B,R_env,R_narrow,R_env_periodogram,R_env_hilbert,band_power,base_band,narrow_power,env_power,hilbert_power,base_narrow,base_env,base_hilbert,g_used,target_j,j_est,rel_j_err,omega_c,kerr_fast,n1_mean,n1_base,n1_ratio,excitation_amp,n_hierarchy,n_pseudo,burn_frac,detune_frac
0.6,0.0006,1.0536698887605218,nan,1.0310116081872323,1.0744272313535452,1.1818255212305154e-31,1.1216278777983764e-31,0.0,2.069948212024184e-14,8.55808500338937e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,227.47694605113188,122.42687930145796,122.42687930145796,0.0,900.0,0.01,2.339503454221167e-13,4.195022388031821e-14,5.576855706171313,0.1,3,3,0.25,-0.1
0.8,0.0008,1.0504877570607456,nan,1.0345709195336021,1.0719915343941406,1.1782563536052204e-31,1.1216278777983764e-31,0.0,2.077094193794855e-14,8.538684060251674e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,198.08537254456039,122.42687930145796,122.42687930145797,1.1607626361372727e-16,900.0,0.01,1.6502579938201056e-13,4.195022388031821e-14,3.933847882500473,0.1,3,3,0.25,-0.1
1.0,0.001,1.0580458896841758,nan,1.023224590096112,1.0669432335146127,1.186733765859757e-31,1.1216278777983764e-31,0.0,2.0543143199838658e-14,8.498473065231325e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,178.4124116152771,122.42687930145796,122.42687930145796,0.0,900.0,0.01,1.097280941126371e-13,4.195022388031821e-14,2.6156736237137994,0.1,3,3,0.25,-0.1
1.1,0.0011,1.0532669307986686,nan,1.036383954906391,1.065616681343818,1.18137355234692e-31,1.1216278777983764e-31,0.0,2.0807342006565034e-14,8.487906741233012e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,170.79515924828604,122.42687930145796,122.42687930145794,1.1607626361372727e-16,900.0,0.01,8.738894412354762e-14,4.195022388031821e-14,2.083157991548834,0.1,3,3,0.25,-0.1
1.3,0.0013,1.0502845994546346,nan,1.036216563805865,1.060974336284873,1.1780284863706195e-31,1.1216278777983764e-31,0.0,2.0803981317834747e-14,8.450929287134548e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,158.5407836041399,122.42687930145796,122.42687930145796,0.0,900.0,0.01,5.320443406013487e-14,4.195022388031821e-14,1.2682753305899948,0.1,3,3,0.25,-0.1
1.5,0.0015,1.057973790691195,nan,1.0355131500526387,1.0565972764234473,1.1866528976192686e-31,1.1216278777983764e-31,0.0,2.0789858974019783e-14,8.41606489681952e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,149.13377576222695,122.42687930145796,122.42687930145793,2.3215252722745455e-16,900.0,0.01,3.067300231964087e-14,4.195022388031821e-14,0.7311761292895441,0.1,3,3,0.25,-0.1
