theta,tau_B,R_env,R_narrow,R_env_periodogram,R_env_hilbert,band_power,base_band,narrow_power,env_power,hilbert_power,base_narrow,base_env,base_hilbert,g_used,target_j,j_est,rel_j_err,omega_c,kerr_fast,n1_mean,n1_base,n1_ratio,excitation_amp,n_hierarchy,n_pseudo,burn_frac,detune_frac
0.6,0.0006,1.0157138102215673,nan,1.0258097666961135,1.071837798423233,1.4176034992694137e-32,1.3956721716328524e-32,0.0,2.5236885219772425e-15,1.046240536492892e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,227.47694605113188,122.42687930145796,122.42687930145796,0.0,1100.0,0.02,0.019977384040987627,5.6899129341854866e-15,3511017527344.1855,0.2,3,3,0.25,0.1
0.8,0.0008,1.0648783020731925,nan,1.035459669080275,1.067384899773272,1.4862210123791972e-32,1.3956721716328524e-32,0.0,2.5474291303003097e-15,1.0418939804381072e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,198.08537254456039,122.42687930145796,122.42687930145797,1.1607626361372727e-16,1100.0,0.02,0.019977384040830912,5.6899129341854866e-15,3511017527316.643,0.2,3,3,0.25,0.1
1.0,0.001,1.0186517706635585,nan,1.0355547890772798,1.0614374530076551,1.421703928899659e-32,1.3956721716328524e-32,0.0,2.5476631437133666e-15,1.0360885685521151e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,178.4124116152771,122.42687930145796,122.42687930145796,0.0,1100.0,0.02,0.019977384040787204,5.6899129341854866e-15,3511017527308.9614,0.2,3,3,0.25,0.1
1.1,0.0011,1.069214482542927,nan,1.0351574336241418,1.0584874074997903,1.4922728987919836e-32,1.3956721716328524e-32,0.0,2.546685573184418e-15,1.033208975017191e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,170.79515924828604,122.42687930145796,122.42687930145794,1.1607626361372727e-16,1100.0,0.02,0.019977384040791038,5.6899129341854866e-15,3511017527309.6353,0.2,3,3,0.25,0.1
1.2,0.0012,1.0055346315375497,nan,1.0345901846432468,1.0556638550913318,1.4033967028500523e-32,1.3956721716328524e-32,0.0,2.5452900320337437e-15,1.0304528537169464e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,164.23983197168678,122.42687930145796,122.42687930145799,2.3215252722745455e-16,1100.0,0.02,0.019977384040805506,5.6899129341854866e-15,3511017527312.1777,0.2,3,3,0.25,0.1
1.3,0.0013,1.0145159981987246,nan,1.0339189536048743,1.0530071695624024,1.415931746362285e-32,1.3956721716328524e-32,0.0,2.5436386751037047e-15,1.0278596142387632e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,158.5407836041399,122.42687930145796,122.42687930145796,0.0,1100.0,0.02,0.019977384040827082,5.6899129341854866e-15,3511017527315.9697,0.2,3,3,0.25,0.1
1.4,0.0014,1.026813337921602,nan,1.0331915442843282,1.0505362563542389,1.4330948011986203e-32,1.3956721716328524e-32,0.0,2.5418491088384566e-15,1.0254477105306282e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,153.54451811322872,122.42687930145796,122.42687930145799,2.3215252722745455e-16,1100.0,0.02,0.019977384040853117,5.6899129341854866e-15,3511017527320.5454,0.2,3,3,0.25,0.1
