theta,tau_B,R_env,R_narrow,R_env_periodogram,R_env_hilbert,band_power,base_band,narrow_power,env_power,hilbert_power,base_narrow,base_env,base_hilbert,g_used,target_j,j_est,rel_j_err,omega_c,kerr_fast,n1_mean,n1_base,n1_ratio,excitation_amp,n_hierarchy,n_pseudo,burn_frac,detune_frac
0.6,0.0006,1.0375272015686998,nan,1.030869080248694,1.0741995370588662,1.4480478425415434e-32,1.3956721716328524e-32,0.0,2.5361354024381824e-15,1.0485458728981166e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,227.47694605113188,122.42687930145796,122.42687930145796,0.0,900.0,0.02,0.019977384041137428,5.6899129341854866e-15,3511017527370.513,0.2,3,3,0.25,-0.1
0.8,0.0008,1.0563618966493726,nan,1.0344318103132746,1.0718083274562478,1.4743349023268286e-32,1.3956721716328524e-32,0.0,2.5449004008450936e-15,1.0462117693414118e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,198.08537254456039,122.42687930145796,122.42687930145797,1.1607626361372727e-16,900.0,0.02,0.019977384040918623,5.6899129341854866e-15,3511017527332.058,0.2,3,3,0.25,-0.1
1.0,0.001,1.0264537303501844,nan,1.036005107298377,1.0677757892796893,1.4325929069184842e-32,1.3956721716328524e-32,0.0,2.548771012796618e-15,1.042275534855674e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,178.4124116152771,122.42687930145796,122.42687930145796,0.0,900.0,0.02,0.019977384040803733,5.6899129341854866e-15,3511017527311.866,0.2,3,3,0.25,-0.1
1.1,0.0011,1.0350467256821931,nan,1.0362681463307792,1.0655025526642639,1.44458591137434e-32,1.3956721716328524e-32,0.0,2.5494181392019783e-15,1.0400565868958272e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,170.79515924828604,122.42687930145796,122.42687930145794,1.1607626361372727e-16,900.0,0.02,0.019977384040774756,5.6899129341854866e-15,3511017527306.7734,0.2,3,3,0.25,-0.1
1.2,0.0012,1.038103369777445,nan,1.036285501010097,1.0631883810016793,1.448851984476669e-32,1.3956721716328524e-32,0.0,2.5494608350374236e-15,1.0377976814855488e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,164.23983197168678,122.42687930145796,122.42687930145799,2.3215252722745455e-16,900.0,0.02,0.019977384040759664,5.6899129341854866e-15,3511017527304.121,0.2,3,3,0.25,-0.1
1.3,0.0013,1.0144429885564346,nan,1.0361200847240997,1.060898115047856,1.41582984883628e-32,1.3956721716328524e-32,0.0,2.549053879288051e-15,1.0355621108761111e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,158.5407836041399,122.42687930145796,122.42687930145796,0.0,900.0,0.02,0.019977384040755258,5.6899129341854866e-15,3511017527303.3467,0.2,3,3,0.25,-0.1
1.4,0.0014,1.0270863948977071,nan,1.035823064362816,1.058676093339082,1.4334758992214404e-32,1.3956721716328524e-32,0.0,2.548323152304451e-15,1.0333931547261166e-15,0.0,2.460191551992565e-15,9.76118343682228e-16,153.54451811322872,122.42687930145796,122.42687930145799,2.3215252722745455e-16,900.0,0.02,0.019977384040758852,5.6899129341854866e-15,3511017527303.9785,0.2,3,3,0.25,-0.1
