theta,tau_B,R_env,R_narrow,R_env_periodogram,R_env_hilbert,band_power,base_band,narrow_power,env_power,hilbert_power,base_narrow,base_env,base_hilbert,g_used,target_j,j_est,rel_j_err,omega_c,kerr_fast,n1_mean,n1_base,n1_ratio,excitation_amp,n_hierarchy,n_pseudo,burn_frac,detune_frac
0.6,0.0006,1.087846640081025,nan,1.032620838713053,1.0713344194790455,1.4825729569908506e-32,1.36285106959601e-32,0.0,2.5404450716952986e-15,1.0457491641133375e-15,0.0,2.460191559625539e-15,9.76118329719912e-16,227.47694605113188,122.42687930145796,122.42687930145796,0.0,1100.0,0.01,0.04967602578741463,6.556734393583979e-15,7576336451271.316,0.2,3,3,0.25,0.1
0.8,0.0008,1.0531996197443791,nan,1.0348532582884447,1.0666464991063085,1.435354228266738e-32,1.36285106959601e-32,0.0,2.5459372514922194e-15,1.0411731991092415e-15,0.0,2.460191559625539e-15,9.76118329719912e-16,198.08537254456039,122.42687930145796,122.42687930145797,1.1607626361372727e-16,1100.0,0.01,0.04967602578702813,6.556734393583979e-15,7576336451212.369,0.2,3,3,0.25,0.1
1.0,0.001,1.0562119674654329,nan,1.035041586690255,1.0609208271599146,1.4394596095803712e-32,1.36285106959601e-32,0.0,2.5464005754367907e-15,1.0355842657724035e-15,0.0,2.460191559625539e-15,9.76118329719912e-16,178.4124116152771,122.42687930145796,122.42687930145796,0.0,1100.0,0.01,0.04967602578691518,6.556734393583979e-15,7576336451195.143,0.2,3,3,0.25,0.1
1.1,0.0011,1.04636182338906,nan,1.034693348971758,1.0580642152456463,1.4260353301902114e-32,1.36285106959601e-32,0.0,2.5455438439410016e-15,1.0327958745219898e-15,0.0,2.460191559625539e-15,9.76118329719912e-16,170.79515924828604,122.42687930145796,122.42687930145794,1.1607626361372727e-16,1100.0,0.01,0.04967602578692141,6.556734393583979e-15,7576336451196.093,0.2,3,3,0.25,0.1
1.2,0.0012,1.0512512007304815,nan,1.0341735586423835,1.0553219075809526,1.4326988233296265e-32,1.36285106959601e-32,0.0,2.5442650601598993e-15,1.0301190577447508e-15,0.0,2.460191559625539e-15,9.76118329719912e-16,164.23983197168678,122.42687930145796,122.42687930145799,2.3215252722745455e-16,1100.0,0.01,0.04967602578695369,6.556734393583979e-15,7576336451201.016,0.2,3,3,0.25,0.1
1.3,0.0013,1.046369393943215,nan,1.033546949160898,1.0527351082888232,1.4260456477280391e-32,1.36285106959601e-32,0.0,2.542723480802367e-15,1.0275940355403968e-15,0.0,2.460191559625539e-15,9.76118329719912e-16,158.5407836041399,122.42687930145796,122.42687930145796,0.0,1100.0,0.01,0.049676025787003544,6.556734393583979e-15,7576336451208.619,0.2,3,3,0.25,0.1
1.4,0.0014,1.0573302249556507,nan,1.0328607547039097,1.0503238790630862,1.4409836279969982e-32,1.36285106959601e-32,0.0,2.541035310991023e-15,1.0252403904959987e-15,0.0,2.460191559625539e-15,9.76118329719912e-16,153.54451811322872,122.42687930145796,122.42687930145799,2.3215252722745455e-16,1100.0,0.01,0.04967602578706454,6.556734393583979e-15,7576336451217.922,0.2,3,3,0.25,0.1
