theta,tau_B,R_env,R_narrow,R_env_periodogram,R_env_hilbert,band_power,base_band,narrow_power,env_power,hilbert_power,base_narrow,base_env,base_hilbert,g_used,target_j,j_est,rel_j_err,omega_c,kerr_fast,n1_mean,n1_base,n1_ratio,excitation_amp,n_hierarchy,n_pseudo,burn_frac,detune_frac
0.6,0.0006,1.0489177345144918,nan,1.0174617993923167,1.0717026721685603,1.41736623505603e-32,1.3512653932885216e-32,0.0,2.5031509219328188e-15,1.0461086400144083e-15,0.0,2.4601915506094045e-15,9.761183462364958e-16,227.47694605113188,122.42687930145796,122.42687930145796,0.0,1100.0,0.01,7.125941304182606e-12,5.112637135225709e-15,1393.7897636202995,0.2,3,3,0.25,0.1
0.8,0.0008,1.0820321897372875,nan,1.0139543217878866,1.0665601728581942,1.462112652416196e-32,1.3512653932885216e-32,0.0,2.4945218551664475e-15,1.0410889520920515e-15,0.0,2.4601915506094045e-15,9.761183462364958e-16,198.08537254456039,122.42687930145796,122.42687930145797,1.1607626361372727e-16,1100.0,0.01,-1.5837691139461206e-11,5.112637135225709e-15,-3097.7538050452736,0.2,3,3,0.25,0.1
1.0,0.001,1.1005455906204147,nan,1.0356636670774417,1.061544022927538,1.487129170341643e-32,1.3512653932885216e-32,0.0,2.5479310030170737e-15,1.036192596117265e-15,0.0,2.4601915506094045e-15,9.761183462364958e-16,178.4124116152771,122.42687930145796,122.42687930145796,0.0,1100.0,0.01,2.920920396398038e-11,5.112637135225709e-15,5713.138482434247,0.2,3,3,0.25,0.1
1.2,0.0012,1.0578194898274107,nan,1.034677563151609,1.0557326347782838,1.4293948689498993e-32,1.3512653932885216e-32,0.0,2.545504998470717e-15,1.0305199935276767e-15,0.0,2.4601915506094045e-15,9.761183462364958e-16,164.23983197168678,122.42687930145796,122.42687930145799,2.3215252722745455e-16,1100.0,0.01,8.362112638244993e-15,5.112637135225709e-15,1.6355771820046894,0.2,3,3,0.25,0.1
1.4,0.0014,1.0525432043607956,nan,1.0332600623739359,1.0505773441660755,1.4222652069937514e-32,1.3512653932885216e-32,0.0,2.542017675034503e-15,1.0254878197809195e-15,0.0,2.4601915506094045e-15,9.761183462364958e-16,153.54451811322872,122.42687930145796,122.42687930145799,2.3215252722745455e-16,1100.0,0.01,4.9520027903273034e-15,5.112637135225709e-15,0.9685809220076179,0.2,3,3,0.25,0.1
