theta,tau_B,R_env,R_narrow,R_env_periodogram,R_env_hilbert,band_power,base_band,narrow_power,env_power,hilbert_power,base_narrow,base_env,base_hilbert,g_used,target_j,j_est,rel_j_err,omega_c,kerr_fast,n1_mean,n1_base,n1_ratio,excitation_amp,n_hierarchy,n_pseudo,burn_frac,detune_frac
0.6,0.0006,1.0271439570558552,nan,1.0280410679609133,1.0636603124063206,4.947071533383391e-32,4.816337086345116e-32,0.0,2.4872233202028068e-14,1.2541426638757467e-14,0.0,2.4193812851622115e-14,1.1790819392692179e-14,227.47694605113188,122.42687930145796,122.42687930145796,0.0,1100.0,0.015,0.00999708820177024,5.182494089194426e-14,192901101857.77756,0.15,3,3,0.25,0.1
0.75,0.00075,1.0378329870941925,nan,1.0352552816003255,1.0623678959053422,4.998553505174092e-32,4.816337086345116e-32,0.0,2.5046772536691626e-14,1.2526187989214296e-14,0.0,2.4193812851622115e-14,1.1790819392692179e-14,204.27227262140497,122.42687930145796,122.42687930145799,2.3215252722745455e-16,1100.0,0.015,0.009997088201426845,5.182494089194426e-14,192901101851.1515,0.15,3,3,0.25,0.1
0.9,0.0009,1.0529746070107078,nan,1.0358154875384504,1.058984426698653,5.071480650725346e-32,4.816337086345116e-32,0.0,2.5060326054316987e-14,1.2486294114877486e-14,0.0,2.4193812851622115e-14,1.1790819392692179e-14,187.37478055047944,122.42687930145796,122.42687930145796,0.0,1100.0,0.015,0.009997088201153406,5.182494089194426e-14,192901101845.87527,0.15,3,3,0.25,0.1
1.0,0.001,1.0557283827894859,nan,1.0356854139684053,1.0565346460610074,5.084743763136154e-32,4.816337086345116e-32,0.0,2.5057179078706375e-14,1.2457409193827294e-14,0.0,2.4193812851622115e-14,1.1790819392692179e-14,178.4124116152771,122.42687930145796,122.42687930145796,0.0,1100.0,0.015,0.009997088201006673,5.182494089194426e-14,192901101843.04395,0.15,3,3,0.25,0.1
1.1,0.0011,1.0381648207205596,nan,1.0352919552034077,1.0540733148291952,5.000151727775259e-32,4.816337086345116e-32,0.0,2.504765981098119e-14,1.2428388081807404e-14,0.0,2.4193812851622115e-14,1.1790819392692179e-14,170.79515924828604,122.42687930145796,122.42687930145794,1.1607626361372727e-16,1100.0,0.015,0.009997088200885736,5.182494089194426e-14,192901101840.71042,0.15,3,3,0.25,0.1
1.25,0.00125,1.0438840129756533,nan,1.0343979956563094,1.0505196249822089,5.027697285537406e-32,4.816337086345116e-32,0.0,2.5026031521001777e-14,1.2386487166643944e-14,0.0,2.4193812851622115e-14,1.1790819392692179e-14,161.2938679911912,122.42687930145796,122.42687930145796,0.0,1100.0,0.015,0.009997088200746896,5.182494089194426e-14,192901101838.03137,0.15,3,3,0.25,0.1
1.4,0.0014,1.0358134338225569,nan,1.0333199591508084,1.0472490981621951,4.988826655854063e-32,4.816337086345116e-32,0.0,2.4999949707540466e-14,1.2347924975590205e-14,0.0,2.4193812851622115e-14,1.1790819392692179e-14,153.54451811322872,122.42687930145796,122.42687930145799,2.3215252722745455e-16,1100.0,0.015,0.009997088200650841,5.182494089194426e-14,192901101836.17792,0.15,3,3,0.25,0.1
