theta,tau_B,R_env,R_narrow,R_env_periodogram,R_env_hilbert,band_power,base_band,narrow_power,env_power,hilbert_power,base_narrow,base_env,base_hilbert,g_used,target_j,j_est,rel_j_err,omega_c,kerr_fast,n1_mean,n1_base,n1_ratio,excitation_amp,n_hierarchy,n_pseudo,burn_frac,detune_frac
0.6,0.0006,1.0465509243215696,nan,1.0258114562917158,1.072019150281995,1.1738406922547312e-31,1.1216278777983764e-31,0.0,2.0595079366355257e-14,8.538904027792336e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,227.47694605113188,122.42687930145796,122.42687930145796,0.0,1100.0,0.01,2.343064377408728e-13,4.195022388031821e-14,5.585344154761528,0.1,3,3,0.25,0.1
0.75,0.00075,1.060695157771862,nan,1.0352898077066048,1.0689413176412088,1.1897052588026675e-31,1.1216278777983764e-31,0.0,2.0785374959619064e-14,8.514388311327415e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,204.27227262140497,122.42687930145796,122.42687930145799,2.3215252722745455e-16,1100.0,0.01,1.8112189554854887e-13,4.195022388031821e-14,4.317543002041661,0.1,3,3,0.25,0.1
0.9,0.0009,1.05745303070623,nan,1.0358094728390053,1.0645624363363368,1.18606879870249e-31,1.1216278777983764e-31,0.0,2.0795808206957132e-14,8.479509412754045e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,187.37478055047944,122.42687930145796,122.42687930145796,0.0,1100.0,0.01,1.3552916983501297e-13,4.195022388031821e-14,3.2307138627357648,0.1,3,3,0.25,0.1
1.0,0.001,1.049011665346079,nan,1.0356595207379953,1.0615347180388175,1.1766007279878633e-31,1.1216278777983764e-31,0.0,2.0792797638686998e-14,8.455392869725026e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,178.4124116152771,122.42687930145796,122.42687930145796,0.0,1100.0,0.01,1.0963838685014179e-13,4.195022388031821e-14,2.613535202170419,0.1,3,3,0.25,0.1
1.1,0.0011,1.0540297118965494,nan,1.0352512163828507,1.0585643386626884,1.1822291088909606e-31,1.1216278777983764e-31,0.0,2.0784600166775122e-14,8.431733045726334e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,170.79515924828604,122.42687930145796,122.42687930145794,1.1607626361372727e-16,1100.0,0.01,8.740206521906291e-14,4.195022388031821e-14,2.0834707692720884,0.1,3,3,0.25,0.1
1.3,0.0013,1.048514508874174,nan,1.033992432504202,1.0530515080951506,1.1760431034293467e-31,1.1216278777983764e-31,0.0,2.0759327731254104e-14,8.387821954095831e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,158.5407836041399,122.42687930145796,122.42687930145796,0.0,1100.0,0.01,5.3214588540420645e-14,4.195022388031821e-14,1.2685173908067588,0.1,3,3,0.25,0.1
1.5,0.0015,1.0625689673331353,nan,1.0324981242646292,1.0482769012814213,1.191806975844277e-31,1.1216278777983764e-31,0.0,2.0729326704649217e-14,8.349791001624364e-15,0.0,2.007686621165841e-14,7.96525325647977e-15,149.13377576222695,122.42687930145796,122.42687930145793,2.3215252722745455e-16,1100.0,0.01,3.067872525468065e-14,4.195022388031821e-14,0.7313125513276268,0.1,3,3,0.25,0.1
