Theta,tau_B,calibration,cutoff,N,N_pseudo,model,R_env,band_power,energy,envelope_rms,envelope_rms_ratio,n1_tail,occ_ratio_achieved,gpm_scale,occ_updates,hit_clamp,nbar,a1_init_alpha,burn_frac,omega_c,t_final,n_time
0.0,0.0,equal_carrier,4.0,5.0,4.0,lindblad,1.0,8.920960272762538e-16,5.5802529443726215e-15,6.52457610879921e-08,1.0,0.01982859789987147,1.0,1.0,0,False,0.02,0.04,0.25,1000.0,8.0,320
0.9490000000000004,0.0009490000000000004,equal_carrier,4.0,5.0,4.0,pseudomode,1.0328139689837559,9.213692386458285e-16,6.386091440344305e-13,6.631097262950136e-08,1.0163261417101515,0.019999985455548524,1.0086434530844042,1.0,0,False,0.02,0.04,0.25,1000.0,8.0,320
0.0,0.0,equal_heating,4.0,5.0,4.0,lindblad,1.0,1.3643218778509712e-15,6.6374722491224196e-15,8.06872230922942e-08,1.0,0.022220776424915708,1.0,1.0,0,False,0.02,0.04,0.25,1000.0,8.0,320
0.9490000000000004,0.0009490000000000004,equal_heating,4.0,5.0,4.0,pseudomode,1.0589962842957164,1.4448117992275328e-15,1.160103682609783e-12,8.30198950833329e-08,1.0289100541776048,0.01999998545425857,0.9000579039998345,1.1110396292664222,2,True,0.02,0.04,0.25,1000.0,8.0,320
