Theta,tau_B,calibration,cutoff,N,N_pseudo,model,R_env,band_power,energy,envelope_rms,envelope_rms_ratio,n1_tail,n1_ratio,gpm_scale
0.0,0.0,equal_heating,4.0,5.0,4.0,lindblad,1.0,9.511459220411952e-16,1.9274938036832383e-15,6.537249055414602e-08,1.0,0.004250411575342527,1.0,1.0
0.9490000000000004,0.0009490000000000004,equal_heating,4.0,5.0,4.0,pseudomode,1.1558136719511212,1.0993474607157687e-15,2.233054794931204e-15,7.067447533583176e-08,1.0811042188654916,7.624794388968373e-20,1.793895544892947e-17,1.8
