calibration,cutoff,theta_star,tau_B_star,R_env_peak
equal_carrier,4,1.39,0.00139,1
equal_carrier,6,1.39,0.00139,1
equal_carrier,8,1.39,0.00139,1
equal_carrier,10,1.39,0.00139,1
