Theta,tau_B,calibration,cutoff,N,N_pseudo,model,R_env,band_power,energy,envelope_rms,envelope_rms_ratio
0.0,0.0,equal_carrier,3.0,4.0,3.0,lindblad,1.0,7.005839244992902e-16,1.2054732523843024e-15,5.037370856103221e-08,1.0
0.9490000000000004,0.0009490000000000004,equal_carrier,3.0,4.0,3.0,pseudomode,1.0263525270297946,7.190460813062974e-16,1.2393745987223609e-15,5.112855337754701e-08,1.0149848966470325
