model,condition,theta,seed,metric,value,fs_hz,w3_rad_s,demod_lp_frac,nbw_rel,welch_nperseg,welch_noverlap,psd_norm,is_surrogate,psd_nrmse,config_hash,run_id,holm_family,wall_s,ode_steps,timestamp,status,failure_reason
classical,ou,0.7,3383382447,baseband_power,1.0158237781189006e-31,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,3d6d1cae,classical_ou_vs_surrogate,0.04200462500000057,12000.0,2025-10-10T20:01:47.683938Z,ok,
classical,psd_matched,0.7,3383382447,baseband_power,5.411539574180535e-32,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,3d6d1cae,classical_ou_vs_surrogate,0.04183066700000104,12000.0,2025-10-10T20:01:47.683966Z,ok,
classical,ou,0.7,3383382447,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,3d6d1cae,classical_ou_vs_surrogate,0.04200462500000057,12000.0,2025-10-10T20:01:47.683969Z,ok,
classical,psd_matched,0.7,3383382447,narrowband_power,0.0,2000.0,1.0,0.2,0.3,512,256,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,3d6d1cae,classical_ou_vs_surrogate,0.04183066700000104,12000.0,2025-10-10T20:01:47.683971Z,ok,
classical,psd_overlay,0.7,-1,psd_nrmse,0.00605412847447654,2000.0,1.0,0.2,0.3,8192,4096,onesided,2,0.00605412847447654,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,3d6d1cae,classical_ou_vs_surrogate,nan,nan,2025-10-10T20:01:48.757893Z,ok,
