theta,tau_B,R_env,R_narrow,R_env_periodogram,R_env_hilbert,band_power,base_band,narrow_power,env_power,hilbert_power,base_narrow,base_env,base_hilbert,g_used,target_j,j_est,rel_j_err,omega_c,kerr_fast,n1_mean,n1_base,n1_ratio,excitation_amp,n_hierarchy,n_pseudo,burn_frac,detune_frac
0.9,0.0009,1.1124693644188761,nan,1.0300827139380957,1.0367201407700657,1.070835804111072e-33,9.625755444244954e-34,0.0,7.14553477975405e-15,2.0058890837510227e-15,0.0,6.936855344786876e-15,1.93484143392938e-15,187.08762919052631,120.38951822382401,120.38951822382401,0.0,1120.0,0.08,3.941387170787916e-19,1.0724827584663729e-14,3.675012152572051e-05,0.06,4,3,0.4,0.12
0.95,0.00095,1.1038679844891968,nan,1.0303392511087492,1.0366202613485296,1.062556326142459e-33,9.625755444244954e-34,0.0,7.147314340997435e-15,2.0056958329078377e-15,0.0,6.936855344786876e-15,1.93484143392938e-15,182.5606221874425,120.38951822382401,120.38951822382401,0.0,1120.0,0.08,3.9425107304911853e-19,1.0724827584663729e-14,3.676059777528629e-05,0.06,4,3,0.4,0.12
1.0,0.001,1.0622803939795964,nan,1.0305076078824977,1.036450763097514,1.0225251285663775e-33,9.625755444244954e-34,0.0,7.148482207583243e-15,2.005367880668794e-15,0.0,6.936855344786876e-15,1.93484143392938e-15,178.4124116152771,120.38951822382401,120.38951822382401,0.0,1120.0,0.08,3.943020193784182e-19,1.0724827584663729e-14,3.676534809214663e-05,0.06,4,3,0.4,0.12
1.05,0.0010500000000000002,1.0504452911728361,nan,1.0306013228265405,1.036228437602638,1.0111329480388404e-33,9.625755444244954e-34,0.0,7.149132294593712e-15,2.0049377160894893e-15,0.0,6.936855344786876e-15,1.93484143392938e-15,174.59799689921016,120.38951822382401,120.38951822382401,0.0,1120.0,0.08,3.9430067376753555e-19,1.0724827584663729e-14,3.676522262524546e-05,0.06,4,3,0.4,0.12
1.1,0.0011,1.0632298345928093,nan,1.030632203723085,1.0359626668120532,1.0234390368815396e-33,9.625755444244954e-34,0.0,7.14934651090596e-15,2.0044234917519375e-15,0.0,6.936855344786876e-15,1.93484143392938e-15,171.07958414271283,120.38951822382401,120.38951822382403,1.1804063115180573e-16,1120.0,0.08,3.9425584289048094e-19,1.0724827584663729e-14,3.6761042522889435e-05,0.06,4,3,0.4,0.12
1.15,0.00115,1.0481017133512132,nan,1.0306108155933797,1.0356647869277333,1.0088770773412903e-33,9.625755444244954e-34,0.0,7.149198144544098e-15,2.0038471414094212e-15,0.0,6.936855344786876e-15,1.93484143392938e-15,167.8251614576015,120.38951822382401,120.38951822382403,1.1804063115180573e-16,1120.0,0.08,3.9417558699307784e-19,1.0724827584663729e-14,3.6753559335232616e-05,0.06,4,3,0.4,0.12
1.2,0.0012,1.0634719634015086,nan,1.0305461534703952,1.0353390237039837,1.0236721041513942e-33,9.625755444244954e-34,0.0,7.148749592750667e-15,2.0032168412264602e-15,0.0,6.936855344786876e-15,1.93484143392938e-15,164.80740427805728,120.38951822382401,120.38951822382398,2.3608126230361145e-16,1120.0,0.08,3.940650844655479e-19,1.0724827584663729e-14,3.674325590362426e-05,0.06,4,3,0.4,0.12
