model,condition,theta,seed,metric,value,fs_hz,w3_rad_s,demod_lp_frac,nbw_rel,welch_nperseg,welch_noverlap,psd_norm,is_surrogate,psd_nrmse,config_hash,run_id,holm_family,wall_s,ode_steps,timestamp,status,failure_reason,n_samples,mean_ou,ci_ou_low,ci_ou_high,mean_psd_matched,ci_psd_low,ci_psd_high,cohen_d,p_value,p_value_holm,Theta,calibration,R_env_mean,R_env_ci_low,R_env_ci_high,cutoff,theta_star,tau_B_star,R_env_peak,tau_B,N,N_pseudo,R_env,band_power,energy,envelope_rms,envelope_rms_ratio,baseband_power,baseband_ratio,narrowband_power,occ_target,occ_meas,rel_occ_err,n1_tail,occ_ratio_achieved,gpm_scale,nudges_used,hit_clamp,g_used,kappa,Jw1_target,Jw1_est,rel_Jw1_err,nbar,a1_init_alpha,burn_frac,omega_c,t_final,n_time,solver,min_real_part,cond_drift,freq_grid,j_bandwidth_frac,Theta_star,n1_ratio,occ_updates
classical,ou,0.7,1908907488,baseband_power,1.6616624502285586e-32,2000.0,1.0,0.2,0.3,8192,4096,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,976d6ce8,classical_ou_vs_surrogate,0.043155541999999825,12000.0,2025-10-10T13:03:24.786246Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,psd_matched,0.7,1908907488,baseband_power,1.940589683111184e-32,2000.0,1.0,0.2,0.3,8192,4096,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,976d6ce8,classical_ou_vs_surrogate,0.04398837499999986,12000.0,2025-10-10T13:03:24.786269Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,ou,0.7,1908907488,narrowband_power,0.0,2000.0,1.0,0.2,0.3,8192,4096,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,976d6ce8,classical_ou_vs_surrogate,0.043155541999999825,12000.0,2025-10-10T13:03:24.786277Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,psd_matched,0.7,1908907488,narrowband_power,0.0,2000.0,1.0,0.2,0.3,8192,4096,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,976d6ce8,classical_ou_vs_surrogate,0.04398837499999986,12000.0,2025-10-10T13:03:24.786280Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,ou,1.0,2964579060,baseband_power,2.778751665825291e-31,2000.0,1.0,0.2,0.3,8192,4096,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,976d6ce8,classical_ou_vs_surrogate,0.04284120800000002,12000.0,2025-10-10T13:03:26.648358Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,psd_matched,1.0,2964579060,baseband_power,1.1710206251173711e-31,2000.0,1.0,0.2,0.3,8192,4096,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,976d6ce8,classical_ou_vs_surrogate,0.04295520799999997,12000.0,2025-10-10T13:03:26.648370Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,ou,1.0,2964579060,narrowband_power,0.0,2000.0,1.0,0.2,0.3,8192,4096,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,976d6ce8,classical_ou_vs_surrogate,0.04284120800000002,12000.0,2025-10-10T13:03:26.648373Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,psd_matched,1.0,2964579060,narrowband_power,0.0,2000.0,1.0,0.2,0.3,8192,4096,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,976d6ce8,classical_ou_vs_surrogate,0.04295520799999997,12000.0,2025-10-10T13:03:26.648375Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,ou,1.3,32746990,baseband_power,1.4335499755893085e-31,2000.0,1.0,0.2,0.3,8192,4096,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,976d6ce8,classical_ou_vs_surrogate,0.043106625000000065,12000.0,2025-10-10T13:03:27.393859Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,psd_matched,1.3,32746990,baseband_power,1.843034986408021e-32,2000.0,1.0,0.2,0.3,8192,4096,onesided,1,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,976d6ce8,classical_ou_vs_surrogate,0.042525625000000566,12000.0,2025-10-10T13:03:27.393874Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classical,ou,1.3,32746990,narrowband_power,0.0,2000.0,1.0,0.2,0.3,8192,4096,onesided,0,nan,c7dc5aa1a8178e413d3d49e0b18cfd61e6531344920f0331135cafb4dbaaed17,976d6ce8,classical_ou_vs_surrogate,0.043106625000000065,12000.0,2025-10-10T13:03:27.393877Z,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
