theta,tau_B,band_mean,band_sem,band_ratio,band_mean_surrogate,band_sem_surrogate,band_ratio_surrogate,env_mean,env_sem,env_mean_surrogate,env_sem_surrogate,psd_nrmse,cohen_dz
0.6,0.0006,7.377597681466107e-27,3.341613511556593e-27,1.0,9.879611125689488e-27,3.7683846547926505e-27,1.339136606826488,1.5466154189203732e-19,7.10021124969692e-20,9.766316514158075e-20,3.3327316467295394e-20,1.0897750414839793,-0.196124539540042
0.725,0.000725,8.320086888570416e-27,3.489961567892378e-27,1.1277501495469204,1.0621644767665785e-26,4.0566993458993586e-27,1.4397159110951963,1.6931943527090105e-19,7.712323903500816e-20,1.0500930482758827e-19,3.586726650652357e-20,1.2179826721169513,-0.16751413787955505
0.85,0.00085,9.000042222583925e-27,3.4581948131275964e-27,1.2199150199249411,1.100995974024122e-26,4.210281360657569e-27,1.492350249445057,1.7864217962277102e-19,8.060785840917255e-20,1.0886946583510756e-19,3.722260913098656e-20,1.3622682806781992,-0.14136325386173942
0.975,0.000975,9.444022064454487e-27,3.312411479367874e-27,1.2800944795593314,1.1132959960863126e-26,4.2625655333479186e-27,1.5090223730729022,1.8357874310125375e-19,8.197496754335079e-20,1.10113981785137e-19,3.768768123492565e-20,1.5207943047911676,-0.11778031083196049
1.1,0.0011,9.691236465834371e-27,3.1082607274795918e-27,1.313603273621243,1.1067804829992473e-26,4.242753048515847e-27,1.500190889752209,1.8508178172078748e-19,8.175006930510081e-20,1.0950198457940546e-19,3.751950119951666e-20,1.6741672417261884,-0.09675000929634575
1.225,0.0012250000000000002,9.782973816586662e-27,2.885206055833138e-27,1.3260378566268671,1.0875736509242154e-26,4.174240155234572e-27,1.4741568975174697,1.840166158540742e-19,8.039823623092291e-20,1.0763613720997841e-19,3.6922323394337383e-20,1.81875967695498,-0.07819906001252279
1.35,0.00135,9.757583025254436e-27,2.6678579002987136e-27,1.3225962496934867,1.0602560208122703e-26,4.0743662136453555e-27,1.437129085360442,1.8111448497772466e-19,7.829599679424871e-20,1.0496741104836216e-19,3.6049156078463645e-20,1.951430202969533,-0.06195205278510809
1.475,0.0014750000000000002,9.647096578120188e-27,2.469424701725782e-27,1.3076203114674418,1.0281025607670044e-26,3.9556564379478475e-27,1.3935465244327276,1.769608497762083e-19,7.573000943013135e-20,1.0182001414487702e-19,3.5010132293416796e-20,2.0697382898797527,-0.04779819438584234
1.6,0.0016,9.477064085014574e-27,2.295405448486107e-27,1.2845731760113073,9.934142987241663e-27,3.826864691564389e-27,1.3465281540355705,1.7200545733351428e-19,7.290892117033352e-20,9.84202337844272e-20,3.3882234101946016e-20,2.172131755250634,-0.03551987091499088
