theta,tau_B,band_mean,band_sem,band_ratio,band_mean_surrogate,band_sem_surrogate,band_ratio_surrogate,env_mean,env_sem,env_mean_surrogate,env_sem_surrogate,psd_nrmse,cohen_dz
0.6,0.0006,2.6553353911422444e-27,1.2035287166365794e-27,1.0,3.5576458872717e-27,1.3594205598965397e-27,1.3398103678877675,5.576799458660634e-20,2.5574846050761145e-20,3.519878073379127e-20,1.2029141002991616e-20,1.0794143276344481,-0.1959659839535506
0.725,0.000725,2.994825181653576e-27,1.256908478526827e-27,1.1278519435412238,3.824934657508196e-27,1.4636161236362028e-27,1.4404713883856404,6.104922135532475e-20,2.7778551692680085e-20,3.7849219070436556e-20,1.2947847333343395e-20,1.2052708148875542,-0.167363944295668
0.85,0.00085,3.239922628976077e-27,1.2454769031576286e-27,1.2201557060490054,3.9648535119270834e-27,1.5192241178130572e-27,1.4931648654076517,6.440728244671024e-20,2.903320376438782e-20,3.924385328688737e-20,1.3439370481330664e-20,1.3501273490966026,-0.14120762071730594
0.975,0.000975,3.399997499456082e-27,1.1929736222605587e-27,1.2804399439701313,4.0092621250123224e-27,1.5383057218288454e-27,1.509889160663678,6.618522561320471e-20,2.9525627287988766e-20,3.969610780892074e-20,1.360977051227654e-20,1.504595229173176,-0.1176443275466457
1.1,0.0011,3.489243064047827e-27,1.119468277417546e-27,1.3140498468432122,3.985926902774212e-27,1.5314074691920295e-27,1.5011011098901474,6.672690510440467e-20,2.944502334342701e-20,3.947938198894154e-20,1.3551675667855062e-20,1.6530377304696808,-0.0966357275158312
1.225,0.0012250000000000002,3.522553311045796e-27,1.0391577063848746e-27,1.3265944945397279,3.916849452180421e-27,1.5069239500606356e-27,1.4750865240023452,6.634431326771165e-20,2.895885611572142e-20,3.881074006233142e-20,1.3338710608467954e-20,1.7919524328413543,-0.07809162933211447
1.35,0.00135,3.513628462016356e-27,9.60921395713062e-28,1.3232333940703815,3.818551842618051e-27,1.4711190002716986e-27,1.4380676186353343,6.530088448506953e-20,2.820270797970066e-20,3.7852624697259635e-20,1.3026038366489907e-20,1.9183470356121823,-0.061861744315983395
1.475,0.0014750000000000002,3.474053874096762e-27,8.89498994213192e-28,1.308329593950966,3.702892529265102e-27,1.4285071223587125e-27,1.3945102910981917,6.380740023055693e-20,2.727978932268201e-20,3.672182948897168e-20,1.265337322458537e-20,2.0299991796584687,-0.047734673110173674
1.6,0.0016,3.413077869687752e-27,8.268718045642458e-28,1.2853660148067207,3.578080297606346e-27,1.3822442303230964e-27,1.3475059721428129,6.202569776124049e-20,2.6265206728405357e-20,3.549988294808477e-20,1.22484826206727e-20,2.1256128060303547,-0.03546726850127961
