theta,tau_B,band_mean,band_sem,band_ratio,band_mean_surrogate,band_sem_surrogate,band_ratio_surrogate,env_mean,env_sem,env_mean_surrogate,env_sem_surrogate,psd_nrmse,cohen_dz
0.6,0.0006,8.012569463680606e-32,5.413802494348876e-32,1.0,1.6150457246502295e-31,8.727965802736127e-32,2.015640216251369,1.8239735566414878e-24,2.083314315751417e-25,1.1116114695392081e-24,3.2450275108721164e-25,1.4261916574488944,-0.2819693249941274
0.725,0.000725,9.674325228636675e-32,6.537739852323378e-32,1.2073936173019753,1.9479443286012214e-31,1.0516043233788341e-31,2.431110691059676,2.202288096348497e-24,2.515545324191977e-25,1.3429250132359803e-24,3.9215920469211972e-25,1.4244666500627234,-0.28174170502511325
0.85,0.00085,1.1336758458568868e-31,7.662600089531908e-32,1.4148717848820098,2.2801937671153156e-31,1.2297597876761943e-31,2.8457709820189185,2.5807886957692874e-24,2.9480329340813465e-25,1.5745109477667838e-24,4.599177102197837e-25,1.4226089986231083,-0.2814892393890828
0.975,0.000975,1.2999796350277403e-31,8.788118542841821e-32,1.6224254166160943,2.611582703529696e-31,1.4071489012950311e-31,3.259357332710168,2.959393205010554e-24,3.380683640345132e-25,1.8063090819127125e-24,5.277562800775116e-25,1.420711102487938,-0.2811955572703905
1.1,0.0011,1.4662632676042276e-31,9.91391067205365e-32,1.829953892132242,2.942350751004883e-31,1.5839700467237028e-31,3.6721687897271624,3.338056682428657e-24,3.8134464277128097e-25,2.0382874345042224e-24,5.956629098961571e-25,1.4188289241818168,-0.280917421449475
1.225,0.0012250000000000002,1.6325418818879239e-31,1.1040292099268808e-31,2.03747610462276,3.2725510153581752e-31,1.7603106241602511e-31,4.084271631206446,3.716752428808546e-24,4.246291113379663e-25,2.270426912585641e-24,6.636299628412764e-25,1.416993580942444,-0.2806452090081373
1.35,0.00135,1.7988413453912997e-31,1.2166996355829377e-31,2.245024337754689,3.6019617073954424e-31,1.936031853397003e-31,4.4953890555612945,4.0954635480648954e-24,4.679198710053717e-25,2.502714280228595e-24,7.316516144342485e-25,1.4152207455586672,-0.28035347292412305
1.475,0.0014750000000000002,1.9651407535851664e-31,1.3294053645327858e-31,2.4525725018581883,3.930882390009158e-31,2.1113062488608166e-31,4.905894928995089,4.474178795849396e-24,5.112156685420867e-25,2.7351388581858244e-24,7.997227562301867e-25,1.413516983009557,-0.2800771941054647
1.6,0.0016,2.1314381572432735e-31,1.4421528828250831e-31,2.6601181642226774,4.259231426184734e-31,2.286213641815272e-31,5.315687365321434,4.8528903729134185e-24,5.545156442356155e-25,2.967691025563644e-24,8.678385936961017e-25,1.411883703140077,-0.27979623442603946
