Theta,tau_B,calibration,cutoff,N,N_pseudo,model,R_env,band_power,energy,envelope_rms,envelope_rms_ratio,n1_tail,occ_ratio_achieved,gpm_scale,occ_updates,hit_clamp,nbar,a1_init_alpha,burn_frac,omega_c,t_final,n_time
0.0,0.0,equal_carrier,4.0,5.0,4.0,lindblad,1.0,8.920514752226429e-16,5.570645243963153e-15,6.526649587478825e-08,1.0,0.01982862219041692,1.0,1.0,0,False,0.02,0.04,0.25,1000.0,8.0,300
1.3899999999999995,0.0013899999999999995,equal_carrier,4.0,5.0,4.0,pseudomode,1.031282843515374,9.199573819296914e-16,4.158900588641323e-13,6.626473578308783e-08,1.0152948292216373,0.019999985455618877,1.0086422174751395,1.0,0,False,0.02,0.04,0.25,1000.0,8.0,300
